# IP RP SP set_id D HHub_Ratio HHub HTrans PileDepth WaterDepth WaveHeight WavePeriod WindSpeed monopile_mass tower_mass total_mass
10.0 10.0 300.0 1.0 206.0129077457011 0.58381049962 120.27249859918673 10.1185261939 20.5 20.5 3.5 6.0 9.0 496087.96153250453 552539.3870956954 1048627.3486282
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 20.5 20.5 3.5 6.0 5.9016133232 583578.507027284 573860.3866561772 1157438.8936834612
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 20.5 20.5 3.5 6.0 7.2630250024 469687.29156634444 547376.8875346837 1017064.1791010281
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 20.5 20.5 3.5 6.0 9.0 474995.12599241827 581277.4181756182 1056272.5441680364
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 20.5 20.5 3.5 6.0 10.7369749976 543743.1778320244 671685.9898910043 1215429.1677230287
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 20.5 20.5 3.5 6.0 12.0983866768 451357.20841854345 584207.4157915893 1035564.6242101328
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 20.5 20.5 3.5 6.0 12.841965075200001 460947.37270263047 554356.966550634 1015304.3392532645
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 20.5 20.5 3.5 8.171218747000001 9.0 489157.311941656 534028.415908797 1023185.727850453
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 20.5 20.5 3.5 9.872983346 5.9016133232 451392.89163735084 562352.066043409 1013744.95768076
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 20.5 20.5 3.5 9.872983346 9.0 450751.7575913919 566864.9861973755 1017616.7437887674
