# IP RP SP set_id D HHub_Ratio HHub HTrans PileDepth WaterDepth WaveHeight WavePeriod WindSpeed monopile_mass tower_mass total_mass
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 56.7316517034 56.7316517034 1.9508066616 6.0 9.0 1375211.7975496177 672752.4513137206 2047964.2488633383
10.0 10.0 300.0 1.0 206.0129077457011 0.58381049962 120.27249859918673 10.6762099924 45.5 45.5 1.9508066616 6.0 9.0 994044.380567118 654567.1514562691 1648611.532023387
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 56.7316517034 56.7316517034 3.5 2.127016654 9.0 1643381.3907600143 588529.9506032141 2231911.3413632284
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 56.7316517034 56.7316517034 3.5 6.0 5.9016133232 1482600.1362838487 635812.6190494306 2118412.7553332793
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 56.7316517034 56.7316517034 3.5 6.0 9.0 1381029.8596616911 671022.7467123403 2052052.6063740314
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 56.7316517034 56.7316517034 3.5 6.0 12.0983866768 1381262.463195119 670597.763146465 2051860.226341584
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 56.7316517034 56.7316517034 5.0491933384 6.0 9.0 1371112.2113108197 703927.4215851913 2075039.632896011
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 59.4271233976 59.4271233976 3.5 6.0 9.0 1596604.530601452 681516.2257494903 2278120.7563509424
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 11.1366911596 45.5 45.5 3.5 6.0 9.0 1076487.714286444 605644.6555967112 1682132.3698831552
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 11.6972687518 45.5 45.5 1.9508066616 6.0 9.0 1005557.6210373421 643283.7308403633 1648841.3518777054
10.0 10.0 300.0 1.0 206.0129077457011 0.58381049962 120.27249859918673 10.6762099924 45.5 45.5 3.5 2.127016654 9.0 1018261.7312866476 659476.0985752725 1677737.82986192
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 11.6972687518 45.5 45.5 3.5 2.127016654 9.0 1024146.2800023521 653923.7133552241 1678069.9933575762
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 11.6972687518 45.5 45.5 3.5 6.0 5.9016133232 1023316.8202690223 647286.1888532891 1670603.0091223114
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 11.6972687518 45.5 45.5 3.5 6.0 9.0 1025606.9038816318 639201.4080204458 1664808.3119020776
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 11.6972687518 45.5 45.5 3.5 6.0 12.0983866768 1251479.7031123734 552447.9371583192 1803927.6402706925
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 11.6972687518 45.5 45.5 3.5 9.872983346 9.0 1008243.9680163014 644106.8562247389 1652350.8242410403
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 11.6972687518 45.5 45.5 5.0491933384 6.0 9.0 1028615.9589327466 629560.9007017066 1658176.8596344532
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 11.6972687518 56.7316517034 56.7316517034 3.5 6.0 9.0 1389444.261170039 663254.807599335 2052699.068769374
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 12.3298399408 45.5 45.5 3.5 6.0 9.0 1166592.5585644015 606818.2792343448 1773410.8377987463
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 31.089436533426 31.089436533426 3.5 6.0 9.0 653043.8532328645 596027.9639009049 1249071.8171337694
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 31.57287660385 31.57287660385 1.9508066616 6.0 9.0 827777.5335021815 522125.2717932197 1349902.8052954013
10.0 10.0 300.0 1.0 206.0129077457011 0.58381049962 120.27249859918673 10.6762099924 45.5 45.5 3.5 6.0 5.9016133232 1183932.4728324302 571169.6521475322 1755102.1249799624
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 31.57287660385 31.57287660385 3.5 2.127016654 9.0 672587.7414984256 602117.7090838696 1274705.4505822952
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 31.57287660385 31.57287660385 3.5 6.0 5.9016133232 721845.6620224207 557686.6386604754 1279532.300682896
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 31.57287660385 31.57287660385 3.5 6.0 12.0983866768 676066.0773882398 592612.1338254232 1268678.211213663
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 31.57287660385 31.57287660385 3.5 9.872983346 9.0 715341.070250059 565931.265513632 1281272.335763691
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 32.61734112324 32.61734112324 3.5 6.0 9.0 687332.0151529526 601788.041788039 1289120.0569409917
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 34.2683482966 34.2683482966 1.5790174626 6.0 9.0 786923.9849254878 575410.7297885483 1362334.714714036
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 34.2683482966 34.2683482966 1.9508066616 2.127016654 9.0 730141.3494418619 605727.4459704146 1335868.7954122764
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 34.2683482966 34.2683482966 1.9508066616 6.0 5.9016133232 855600.4690031048 561785.2933219874 1417385.7623250922
10.0 10.0 300.0 1.0 206.0129077457011 0.58381049962 120.27249859918673 10.6762099924 45.5 45.5 3.5 6.0 9.0 999124.3059544606 651832.2609263117 1650956.5668807724
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 34.2683482966 34.2683482966 1.9508066616 6.0 9.0 786733.6051487601 563123.6048814689 1349857.210030229
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 34.2683482966 34.2683482966 1.9508066616 9.872983346 9.0 898100.1286515704 571931.0320905192 1470031.1607420896
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 34.2683482966 34.2683482966 2.6315125012 6.0 9.0 723694.4209521674 606235.0421504746 1329929.463102642
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 34.2683482966 34.2683482966 3.5 1.1975436565 9.0 783676.6593175557 626459.9728056419 1410136.6321231977
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 34.2683482966 34.2683482966 3.5 2.127016654 5.9016133232 738327.1133108139 608689.7470690645 1347016.8603798784
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 34.2683482966 34.2683482966 3.5 2.127016654 9.0 795074.4448943638 584355.6056168262 1379430.05051119
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 34.2683482966 34.2683482966 3.5 2.127016654 12.0983866768 847240.6717854445 565058.192930351 1412298.8647157955
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 34.2683482966 34.2683482966 3.5 3.828781253 9.0 731135.4482527544 601646.438143249 1332781.8863960034
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 34.2683482966 34.2683482966 3.5 6.0 5.1580349252 898160.444950232 580157.5575175064 1478318.0024677385
10.0 10.0 300.0 1.0 206.0129077457011 0.58381049962 120.27249859918673 10.6762099924 45.5 45.5 3.5 6.0 12.0983866768 999029.2132430878 651732.6057257007 1650761.8189687885
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 34.2683482966 34.2683482966 3.5 6.0 5.9016133232 723625.5501583918 607698.6323426733 1331324.182501065
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 34.2683482966 34.2683482966 3.5 6.0 7.2630250024 730301.6637900571 601615.3194141564 1331916.9832042134
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 34.2683482966 34.2683482966 3.5 6.0 9.0 724319.5128389418 606608.6916075281 1330928.20444647
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 34.2683482966 34.2683482966 3.5 6.0 10.7369749976 725919.2078771746 604847.0125395312 1330766.2204167058
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 34.2683482966 34.2683482966 3.5 6.0 12.0983866768 758275.446941679 577572.9421349532 1335848.3890766322
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 34.2683482966 34.2683482966 3.5 6.0 12.841965075200001 733123.1350673625 598454.5825815651 1331577.7176489276
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 34.2683482966 34.2683482966 3.5 8.171218747000001 9.0 728461.3784466991 603149.622953152 1331611.0013998512
