trial_id,run_id,seed,pd_level,t_start_iso,t_end_iso,t_climate_done_iso,t_layout_done_iso,t_bridge_done_iso,dt_climate_s,dt_layout_s,dt_bridge_s,dt_aep_total_s,dt_total_s,n_farms_total,n_new_farms,n_turbines_total,requested_mw,delivered_mw,delivered_pct,climate_scale,climate_extreme_modes,climate_mean_speed,climate_dominant_sector,climate_dominant_sector_freq,n_turbines_added
mc_20260807_0627_high_000023,mc_20260807_0627_high/task_0004,23,high,2026-08-07T06:30:37.650,2026-08-07T06:31:03.338,2026-08-07T06:30:37.653,2026-08-07T06:30:44.439,2026-08-07T06:30:44.439,0.0,6.79,0.0,18.9,25.69,24,11,1232,23616.0,6036.0,25.56,1.0,,9.465,8,0.1479,477
mc_20260807_0627_high_000024,mc_20260807_0627_high/task_0004,24,high,2026-08-07T06:31:03.339,2026-08-07T06:31:21.632,2026-08-07T06:31:03.342,2026-08-07T06:31:12.359,2026-08-07T06:31:12.359,0.0,9.02,0.0,9.27,18.29,23,10,1140,23616.0,3354.2,14.2,1.0,,9.25,7,0.1642,246
mc_20260807_0627_high_000025,mc_20260807_0627_high/task_0005,25,high,2026-08-07T06:28:34.171,2026-08-07T06:29:19.182,2026-08-07T06:28:34.176,2026-08-07T06:28:42.885,2026-08-07T06:28:42.895,0.0,8.71,0.01,36.29,45.01,23,10,1311,23616.0,4817.5,20.4,1.0,,9.377,8,0.1496,371
mc_20260807_0627_high_000026,mc_20260807_0627_high/task_0005,26,high,2026-08-07T06:29:19.185,2026-08-07T06:29:42.101,2026-08-07T06:29:19.189,2026-08-07T06:29:26.616,2026-08-07T06:29:26.617,0.0,7.43,0.0,15.48,22.92,22,9,1144,23616.0,3167.0,13.41,1.0,,8.262,8,0.1589,262
mc_20260807_0627_high_000027,mc_20260807_0627_high/task_0005,27,high,2026-08-07T06:29:42.102,2026-08-07T06:30:15.911,2026-08-07T06:29:42.105,2026-08-07T06:29:50.207,2026-08-07T06:29:50.208,0.0,8.1,0.0,25.7,33.81,27,14,1487,23616.0,6949.0,29.42,1.0,,9.468,7,0.1641,537
mc_20260807_0627_high_000028,mc_20260807_0627_high/task_0005,28,high,2026-08-07T06:30:15.912,2026-08-07T06:30:38.335,2026-08-07T06:30:15.916,2026-08-07T06:30:23.289,2026-08-07T06:30:23.289,0.0,7.37,0.0,15.05,22.42,20,7,1185,23616.0,4615.0,19.54,1.0,,8.996,7,0.1501,360
mc_20260807_0627_high_000029,mc_20260807_0627_high/task_0005,29,high,2026-08-07T06:30:38.336,2026-08-07T06:31:13.851,2026-08-07T06:30:38.338,2026-08-07T06:30:44.871,2026-08-07T06:30:44.871,0.0,6.53,0.0,28.98,35.51,25,12,1594,23616.0,7315.5,30.98,1.0,,9.109,7,0.1525,574
mc_20260807_0627_high_000030,mc_20260807_0627_high/task_0006,30,high,2026-08-07T06:28:34.572,2026-08-07T06:29:18.279,2026-08-07T06:28:34.577,2026-08-07T06:28:41.354,2026-08-07T06:28:41.363,0.0,6.78,0.01,36.92,43.71,30,17,1327,23616.0,7469.0,31.63,1.0,,9.412,7,0.1694,544
mc_20260807_0627_high_000031,mc_20260807_0627_high/task_0006,31,high,2026-08-07T06:29:18.283,2026-08-07T06:29:57.954,2026-08-07T06:29:18.288,2026-08-07T06:29:25.233,2026-08-07T06:29:25.233,0.01,6.94,0.0,32.72,39.67,23,10,1500,23616.0,7398.0,31.33,1.0,,9.221,7,0.16,630
mc_20260807_0627_high_000032,mc_20260807_0627_high/task_0006,32,high,2026-08-07T06:29:57.955,2026-08-07T06:30:26.518,2026-08-07T06:29:57.958,2026-08-07T06:30:06.321,2026-08-07T06:30:06.322,0.0,8.36,0.0,20.2,28.56,25,12,1188,23616.0,3737.0,15.82,1.0,,9.323,7,0.1554,300
