trial_id,run_id,seed,wake_model,dt_aep_s,isolated_aep_gwh,real_neighbors_aep_gwh,real_neighbors_loss_pct,full_cluster_aep_gwh,full_cluster_loss_pct,pd_level
mc_20260807_0627_low_000022,mc_20260807_0627_low/task_0004,22,Nygaard_TurboGaussian,8.02,3159.8596562275816,3113.480577562261,1.468,2812.949255347064,10.979,low
mc_20260807_0627_low_000022,mc_20260807_0627_low/task_0004,22,SuperGaussian,3.46,3205.2533609382635,3201.8608398514443,0.106,2943.186778959256,8.176,low
mc_20260807_0627_low_000023,mc_20260807_0627_low/task_0004,23,Nygaard_TurboGaussian,6.78,3451.7098598090865,3383.9729879591323,1.962,3063.3817500069053,11.25,low
mc_20260807_0627_low_000023,mc_20260807_0627_low/task_0004,23,SuperGaussian,2.16,3504.9852039398415,3500.0097408869597,0.142,3224.3188673096956,8.008,low
mc_20260807_0627_low_000024,mc_20260807_0627_low/task_0004,24,Nygaard_TurboGaussian,8.72,3369.391012657226,3297.7404222182768,2.127,2949.512107465539,12.462,low
mc_20260807_0627_low_000024,mc_20260807_0627_low/task_0004,24,SuperGaussian,1.97,3424.0871261473353,3418.983221617895,0.149,3108.8771881146363,9.206,low
mc_20260807_0627_low_000025,mc_20260807_0627_low/task_0005,25,Nygaard_TurboGaussian,10.19,3416.6830483318117,3355.476699134754,1.791,2986.9037157211883,12.579,low
mc_20260807_0627_low_000025,mc_20260807_0627_low/task_0005,25,SuperGaussian,2.52,3471.1459213602902,3466.721033014657,0.127,3128.0383302643586,9.885,low
mc_20260807_0627_low_000026,mc_20260807_0627_low/task_0005,26,Nygaard_TurboGaussian,8.92,2750.3954150663876,2706.5715872341134,1.593,2393.15349327309,12.989,low
mc_20260807_0627_low_000026,mc_20260807_0627_low/task_0005,26,SuperGaussian,2.27,2798.725962986005,2795.5728998465547,0.113,2530.7396809652737,9.575,low
mc_20260807_0627_low_000027,mc_20260807_0627_low/task_0005,27,Nygaard_TurboGaussian,9.72,3479.2136310548076,3411.0621332223677,1.959,3073.6471945339754,11.657,low
mc_20260807_0627_low_000027,mc_20260807_0627_low/task_0005,27,SuperGaussian,2.64,3533.8322198840106,3528.876216542055,0.14,3229.7032287161273,8.606,low
mc_20260807_0627_low_000028,mc_20260807_0627_low/task_0005,28,Nygaard_TurboGaussian,7.37,3184.1979388428763,3128.643968270814,1.745,2800.5406985854715,12.049,low
mc_20260807_0627_low_000028,mc_20260807_0627_low/task_0005,28,SuperGaussian,1.84,3236.794953547177,3232.810579006361,0.123,2917.5289449808597,9.864,low
