Wind_Direction,Wind_Speed,Wave_Height,Surge,Sway,Heave,Pitch,Yaw,Roll
0,4,17,13.914902141094208,-0.6789811975583434,-0.2173952209866302,2.8079386483430864,-0.13182609093748032,0.28262435671314595
0,4,18,13.588213356494904,-0.736862950205803,-0.1957389044543396,2.7337885337471963,-0.15490111879073085,0.29415222066640856
0,4,19,13.393182383060456,-0.800077064782381,-0.1762191775432773,2.695288882434368,-0.1828327758051455,0.3081257151030004
0,4,20,13.266671007156372,-0.86720900452137,-0.1574643105127907,2.6693629742264746,-0.2314560113698244,0.32261051891744136
0,4,21,13.204799003601075,-0.9286960767656565,-0.1397649210416894,2.6548436139822007,-0.30552472364902494,0.3349281203262508
0,4,22,13.167949520111083,-0.986486490637064,-0.12285050590724494,2.6447326387166976,-0.37130507636070254,0.34559409170970323
0,4,23,13.169531531333924,-1.0444610590189696,-0.10714328147138803,2.6411121004223825,-0.4177926214188337,0.35672354205325246
0,4,24,6.716970540583134,-0.007518637636167114,-0.15849929815158248,0.49514590529724956,0.019670502850203775,0.015221594192553312
0,5,4,4.152466315329075,-0.01723752122649057,-0.009821932274548544,0.7851586772799491,0.004125231974439771,0.010632282748753255
0,5,5,5.7448374559879305,-0.04383548482740298,-0.0302332015982347,1.1279879058897495,0.009463049322286737,0.02573745668067545
0,5,6,7.503940886497498,-0.074737908821553,-0.060195374472401454,1.5286800020337106,0.014941117370286179,0.045892267880495635
0,5,7,9.43848350596428,-0.11620259755849838,-0.09781818141623876,1.9787070213258267,0.020185287900169387,0.06951409384142608
0,5,8,11.618142417430878,-0.15269977410510183,-0.15070638339997094,2.488790431022644,0.023818825531652352,0.0972342572286725
0,5,9,14.54377199602127,-0.19240589848160744,-0.23173972221463918,3.122816912770271,0.025453614270867547,0.12122191524505616
0,5,10,17.794968970775603,-0.21426891625672578,-0.32585571926832196,3.825250477552414,0.01946451551591693,0.14432338278368115
0,5,11,21.04044869375229,-0.252597931381315,-0.44302779641002416,4.53036700963974,0.006068520863989079,0.1708724396675825
0,5,12,20.326965051174163,-0.3339426096379757,-0.46654906990379097,4.817072516322136,-0.004952449227921321,0.20462992981821299
0,5,13,17.488841381549836,-0.43349692223221065,-0.3537532590925693,3.998732730984688,-0.031092508663370468,0.23379442374408246
0,5,14,16.3484449698925,-0.48917764108628037,-0.30827318127825853,3.52903391623497,-0.05898623936763033,0.24955688993260264
0,5,15,15.248244401454926,-0.5538516986966133,-0.26934278572537007,3.191539662718773,-0.08483994250930846,0.2613529974669218
0,5,16,14.455309590578079,-0.6200132819786668,-0.2399747420785061,2.957074381828308,-0.10914371448010206,0.2718540932945907
0,5,17,13.893901880025863,-0.6778460933938623,-0.2148728155955032,2.807240436911583,-0.13244650604017077,0.28240995230153204
0,5,18,13.567518423080445,-0.7361451753526926,-0.19334686150297056,2.732610838294029,-0.15562318731099367,0.29404750349000097
0,5,19,13.36961988568306,-0.7995199389904738,-0.1739341235090178,2.693722853064537,-0.18378028277307748,0.3079597229734063
0,5,20,13.237408959150315,-0.8663645627051592,-0.15531207055630786,2.6671195796132086,-0.2325691574551165,0.3224741968214512
0,5,21,13.179957856178284,-0.9274981042295695,-0.13782945916529935,2.6525615244507788,-0.30614382392913103,0.33475678860396146
0,5,22,13.13749048113823,-0.9856520798951387,-0.12099507072694542,2.6419599078893663,-0.37150063464790584,0.3453658530339599
0,5,23,13.143686982154847,-1.0430194349586963,-0.1054019251262289,2.63791590321064,-0.4190636031031609,0.3561475421786308
0,5,24,6.7159812450408936,-0.007519345366745256,-0.15851270174607635,0.494634703733027,0.019693321737577207,0.015221984154777601
0,6,4,4.131140126824379,-0.017462926042630215,-0.008131671160817859,0.7815594278201461,0.004081444166975643,0.01059165911177024
0,6,5,5.721341005444526,-0.04376477549276751,-0.02842931352911546,1.1241882661879063,0.009498480427482263,0.025672057279412654
0,6,6,7.48014069890976,-0.07516718660667539,-0.05816324128897941,1.5247325284183026,0.014841254975117067,0.04578532944060862
0,6,7,9.430028351068497,-0.11603320689313114,-0.09579524853174962,1.9753020098507403,0.019868612942167886,0.06945606141723693
0,6,8,11.62051309633255,-0.1525659107696265,-0.14864495344341003,2.4859164469838144,0.023668113859503848,0.09721974597126246
0,6,9,14.550804099321365,-0.19207801911234856,-0.2296818718155846,3.120031497299671,0.025185983357037003,0.12120749571919441
0,6,10,17.80522108268738,-0.2136376292258501,-0.3237850588336587,3.8225629170536997,0.019154305470882718,0.14428301187232137
0,6,11,21.05301433801651,-0.25190538097545506,-0.4410918654873967,4.52726411652565,0.0055367930502511625,0.17080026024580003
0,6,12,20.260707645893095,-0.33425776241719724,-0.4598884683325887,4.786625740766525,-0.006153231277737717,0.2043728582151234
0,6,13,17.447215091466905,-0.43307430896908045,-0.3503095927685499,3.9907992587685586,-0.031582285604875776,0.23373221643641592
0,6,14,16.33507755637169,-0.48863397769629957,-0.305901170283556,3.52398622405529,-0.059375545005197636,0.24932173382118344
0,6,15,15.235921663045882,-0.5539014152809978,-0.2669224070785567,3.1888440558314324,-0.08517849607206882,0.2611519885659218
0,6,16,14.43381770849228,-0.6204077446758747,-0.2374438169163186,2.9554000298380854,-0.10973289050813764,0.27166417871043086
0,6,17,13.873943853139878,-0.6770949826315046,-0.21232373168593768,2.80617603713274,-0.13304851214587687,0.28226735930144786
0,6,18,13.541597350120544,-0.7353609240800142,-0.1908268819366159,2.731194962620735,-0.1563624889459461,0.293939669907093
0,6,19,13.3420693089962,-0.7988822857439518,-0.17154199332032294,2.6915574595928193,-0.18474588819779456,0.3079125157557428
0,6,20,13.215938821077346,-0.8658772399872542,-0.15315722280748742,2.6645889204740523,-0.23355056973546742,0.3223672409579158
0,6,21,13.149456572294236,-0.9270270990282297,-0.13581817122468057,2.649397235751152,-0.3065565713457763,0.33455106844753024
0,6,22,13.108209944009781,-0.9851477321684361,-0.11907539662225985,2.63888121676445,-0.3721723326593637,0.3452183345593512
0,6,23,13.108164916276932,-1.0421510652154684,-0.1035802851501212,2.634655689775944,-0.4199348317757249,0.3558631386682391
0,6,24,6.71501924097538,-0.007515911487644189,-0.15852615144103765,0.4941425044089556,0.01972649279923644,0.01522009342443198
0,7,4,4.107726745128631,-0.01741472983877338,-0.006473948482661967,0.777210284486413,0.004073685973053671,0.010598497340486858
0,7,5,5.695908393979073,-0.04336098459579648,-0.02666029773538048,1.1196394705027342,0.009454810159052272,0.02564456371692768
0,7,6,7.456676172852516,-0.07534624422574415,-0.0561012637449208,1.5201347134113312,0.014747446018746018,0.04572459356114268
0,7,7,9.418362366199494,-0.11618089977651834,-0.0937264351690883,1.9712486363351345,0.019576407967712952,0.06943232841603458
0,7,8,11.621152937650681,-0.1523531190622598,-0.14653516476993536,2.4824128588438032,0.023511617828810928,0.09720241305418313
0,7,9,14.560051455020904,-0.19185356929153205,-0.22755320382164793,3.1166002251505853,0.025022577629004672,0.12122794105671346
0,7,10,17.81522785949707,-0.2131847278624773,-0.3216041937675327,3.8191671668291094,0.018825621083459282,0.14425825833901762
0,7,11,21.066104616641997,-0.2512845729738474,-0.43911311139166354,4.52346042394638,0.005123260891304199,0.17077356626093387
0,7,12,20.16389670610428,-0.33419931823015214,-0.45208752154558896,4.744036617040634,-0.007547067906551547,0.20379307150095702
0,7,13,17.525020307064057,-0.42992769268155095,-0.35043960539624097,3.984210934638977,-0.03184366544514705,0.23346394803747536
0,7,14,16.319143594026567,-0.4880075367167592,-0.3033809031844139,3.5183746678233145,-0.05976792991021648,0.24905719027668238
0,7,15,15.21902812552452,-0.55355181119591,-0.26446922003058715,3.185398135662079,-0.08557551215263083,0.2609452655762434
0,7,16,14.414111072778702,-0.6203978759199381,-0.2348742408711373,2.953347241818905,-0.11007126690726728,0.271502479404211
0,7,17,13.849920337200166,-0.6766237991675734,-0.20964681847762767,2.8044482586979864,-0.13355107037723066,0.28213077745214105
0,7,18,13.513278756141663,-0.7354704571217299,-0.18823044658001892,2.7290417901873587,-0.1569540103431791,0.29386076191440225
0,7,19,13.317408997297287,-0.798623488560319,-0.1691382882982616,2.6886237707138063,-0.1854766731671989,0.3078611185587943
