Wind_Direction,Wave_Direction,Wind_Speed,Wave_Height,Surge,Sway,Heave,Pitch,Yaw,Roll
0,0,5,22,13.51445413851738,-0.5032875836351887,-0.27253717116749615,2.485578788260049,-0.2766933865158644,0.33589386745076627
0,0,5,23,13.687077070236207,-0.5696902997232973,-0.27379090015842666,2.5141806314535207,-0.30867296047881065,0.3436500759143382
0,0,5,24,13.906472464799881,-0.6405037372447551,-0.27622515548934734,2.5507852862875735,-0.33866906780366846,0.35303909895475954
0,0,6,4,2.2062293782726154,-0.026051269371643683,-0.08952815252606894,0.9163911318555474,0.010634577766571965,0.022207011336955476
0,0,6,5,3.952008742019534,-0.05070003515075723,-0.10624553383574312,1.284327987074852,0.012601367293347722,0.03960862289662646
0,0,6,6,5.987018058478832,-0.08447133825818673,-0.13249606184369805,1.704566026866436,0.014904076199795327,0.06182730073636555
0,0,6,7,8.317430983185767,-0.12203176954714581,-0.16905033826005592,2.176977429240942,0.016962057431486755,0.08757543879994045
0,0,6,8,11.003730280876159,-0.16001309702172875,-0.21831108508043054,2.714359823048115,0.018821846847555973,0.11396203350182622
0,0,6,9,14.187623472929001,-0.19655317392759025,-0.289268659270223,3.3528156047463415,0.01889955483092581,0.1372538867034018
0,0,6,10,17.652905720949175,-0.2402470588348806,-0.3821923951653316,4.027595068097114,0.011605296327690211,0.16102439359389245
0,0,6,11,20.953149421691894,-0.31560519091039896,-0.4774135217871517,4.630387183248997,0.00018000370720528736,0.19535935542359947
0,0,6,12,20.585012468338014,-0.4076930115111172,-0.43819668096932585,4.371228698253631,-0.02031639362988608,0.22715128716081381
0,0,6,13,18.046855926275253,-0.4131140097528696,-0.3658538500251598,3.6953452659249306,-0.04046105599489829,0.24808487043902278
0,0,6,14,16.181564028978347,-0.42868386379629375,-0.32348773316793084,3.2301305468678474,-0.05901645154053404,0.26459911223873495
0,0,6,15,15.032005092144013,-0.4401305702738464,-0.29951908039722186,2.9271614076197148,-0.07437664077926275,0.277585898052901
