year,wake_model,southcoast_turbine,n_southcoast_turbines,isolated_aep_gwh,aep_with_neighbors_gwh,loss_pct
2002,NOJ,option2_haliadex_250,161,3953.756400261586,3952.7971044077494,0.024262897273413134
2002,NOJ,option3_gwh300_22mw,115,3953.756400261586,3952.6567101372584,0.027813805733067506
2003,Nygaard_TurboGaussian,option1_haliadex_13mw,212,3233.2002919327706,3176.650259865575,1.7490420314601178
2003,Nygaard_TurboGaussian,option2_haliadex_250,161,3233.2002919327706,3185.7477120371013,1.4676659535776129
2003,Nygaard_TurboGaussian,option3_gwh300_22mw,115,3233.2002919327706,3177.858406675701,1.7116751286690828
2003,SuperGaussian,option1_haliadex_13mw,212,3571.328979172497,3566.462617869757,0.13626191625357642
2003,SuperGaussian,option2_haliadex_250,161,3571.328979172497,3567.1027102930184,0.11833882860205716
2003,SuperGaussian,option3_gwh300_22mw,115,3571.328979172497,3567.722287146701,0.10099019291780657
2003,NOJ,option1_haliadex_13mw,212,3828.095221813577,3827.119953669441,0.02547659051369979
2003,NOJ,option2_haliadex_250,161,3828.095221813577,3827.042478460492,0.02750044844982702
2003,NOJ,option3_gwh300_22mw,115,3828.095221813577,3826.89854781359,0.03126029867721368
2004,Nygaard_TurboGaussian,option1_haliadex_13mw,212,3199.400320482735,3139.491167864583,1.8725119277700337
2004,Nygaard_TurboGaussian,option2_haliadex_250,161,3199.400320482735,3147.0368028008897,1.6366666386388455
2004,Nygaard_TurboGaussian,option3_gwh300_22mw,115,3199.400320482735,3140.617866067519,1.8372960094705053
2004,SuperGaussian,option1_haliadex_13mw,212,3533.969156951008,3527.1979047009736,0.19160473533606637
2004,SuperGaussian,option2_haliadex_250,161,3533.969156951008,3527.7598275074697,0.17570412099734584
2004,SuperGaussian,option3_gwh300_22mw,115,3533.969156951008,3528.377091691235,0.1582375230630912
2004,NOJ,option1_haliadex_13mw,212,3796.8029635923144,3795.6834506985906,0.029485672668791967
2004,NOJ,option2_haliadex_250,161,3796.8029635923144,3795.587618932022,0.03200968477812559
2004,NOJ,option3_gwh300_22mw,115,3796.8029635923144,3795.4194173517717,0.036439769295631204
2005,Nygaard_TurboGaussian,option1_haliadex_13mw,212,3117.9633667791713,3056.483721615943,1.9717885661606154
2005,Nygaard_TurboGaussian,option2_haliadex_250,161,3117.9633667791713,3064.4577415892636,1.7160440613251517
2005,Nygaard_TurboGaussian,option3_gwh300_22mw,115,3117.9633667791713,3057.763530320386,1.9307422627280957
2005,SuperGaussian,option1_haliadex_13mw,212,3447.4710762737495,3441.15891058655,0.1830955372081632
2005,SuperGaussian,option2_haliadex_250,161,3447.4710762737495,3441.6652566129414,0.1684080745670357
2005,SuperGaussian,option3_gwh300_22mw,115,3447.4710762737495,3442.250217724417,0.15144024224782485
2005,NOJ,option1_haliadex_13mw,212,3699.559379742522,3698.466863428831,0.02953098468086447
2005,NOJ,option2_haliadex_250,161,3699.559379742522,3698.3769909468483,0.031960259974423706
2005,NOJ,option3_gwh300_22mw,115,3699.559379742522,3698.217994649771,0.0362579689920995
2006,Nygaard_TurboGaussian,option1_haliadex_13mw,212,3271.34940076337,3219.974691178698,1.5704439755864572
2006,Nygaard_TurboGaussian,option2_haliadex_250,161,3271.34940076337,3226.64633052936,1.366502466033691
2006,Nygaard_TurboGaussian,option3_gwh300_22mw,115,3271.34940076337,3220.9965603240626,1.5392070448836033
2006,SuperGaussian,option1_haliadex_13mw,212,3584.0166596734193,3579.6219698325503,0.12261912424451252
2006,SuperGaussian,option2_haliadex_250,161,3584.0166596734193,3580.121575794701,0.1086792905441774
2006,SuperGaussian,option3_gwh300_22mw,115,3584.0166596734193,3580.6649585138553,0.09351801282836347
2006,NOJ,option1_haliadex_13mw,212,3835.4961032611623,3834.5469222408387,0.024747281571123818
2006,NOJ,option2_haliadex_250,161,3835.4961032611623,3834.4748733416754,0.026625758232905115
2006,NOJ,option3_gwh300_22mw,115,3835.4961032611623,3834.3409729621712,0.03011684193887895
2007,Nygaard_TurboGaussian,option1_haliadex_13mw,212,3252.565906969891,3200.5014590612755,1.6007192289953922
2007,Nygaard_TurboGaussian,option2_haliadex_250,161,3252.565906969891,3207.9625805811393,1.3713273662855405
2007,Nygaard_TurboGaussian,option3_gwh300_22mw,115,3252.565906969891,3201.383341248121,1.573605798796927
2007,SuperGaussian,option1_haliadex_13mw,212,3590.354790298035,3587.625176138841,0.07602630710953028
2007,SuperGaussian,option2_haliadex_250,161,3590.354790298035,3588.1600593504872,0.061128525611962824
2007,SuperGaussian,option3_gwh300_22mw,115,3590.354790298035,3588.639293313786,0.04778070927376662
2007,NOJ,option1_haliadex_13mw,212,3844.3016698914153,3843.457982660329,0.021946436662191204
2007,NOJ,option2_haliadex_250,161,3844.3016698914153,3843.398322926658,0.02349833707985228
2007,NOJ,option3_gwh300_22mw,115,3844.3016698914153,3843.2778150221166,0.02663305216959266
2008,Nygaard_TurboGaussian,option1_haliadex_13mw,212,3040.463738595209,2984.8615260770957,1.8287411822185862
2008,Nygaard_TurboGaussian,option2_haliadex_250,161,3040.463738595209,2994.6959839030906,1.5052886213096155
2008,Nygaard_TurboGaussian,option3_gwh300_22mw,115,3040.463738595209,2986.282340060422,1.7820110086174117
2008,SuperGaussian,option1_haliadex_13mw,212,3349.274670877716,3343.805452655174,0.16329560158493783
2008,SuperGaussian,option2_haliadex_250,161,3349.274670877716,3344.354939212928,0.14688946557788765
2008,SuperGaussian,option3_gwh300_22mw,115,3349.274670877716,3344.975285343574,0.12836766036316885
2008,NOJ,option1_haliadex_13mw,212,3589.1148396275994,3588.140688095925,0.02714183232363931
2008,NOJ,option2_haliadex_250,161,3589.1148396275994,3588.058881198098,0.02942113798763486
2008,NOJ,option3_gwh300_22mw,115,3589.1148396275994,3587.918023156398,0.03334572797692314
2009,Nygaard_TurboGaussian,option1_haliadex_13mw,212,3183.1391033466616,3130.3943193076466,1.6570053122579742
2009,Nygaard_TurboGaussian,option2_haliadex_250,161,3183.1391033466616,3137.809148304078,1.4240645341237204
2009,Nygaard_TurboGaussian,option3_gwh300_22mw,115,3183.1391033466616,3131.599393879706,1.6191472566426095
2009,SuperGaussian,option1_haliadex_13mw,212,3497.3803803402743,3491.7792455548433,0.16015229046621543
2009,SuperGaussian,option2_haliadex_250,161,3497.3803803402743,3492.2511316662867,0.14665973146131045
2009,SuperGaussian,option3_gwh300_22mw,115,3497.3803803402743,3492.827766366666,0.130172113939906
2009,NOJ,option1_haliadex_13mw,212,3738.937835821235,3737.9851345853176,0.025480531577437147
2009,NOJ,option2_haliadex_250,161,3738.937835821235,3737.904590166385,0.02763473746342618
2009,NOJ,option3_gwh300_22mw,115,3738.937835821235,3737.7688215166368,0.0312659465316105
2010,Nygaard_TurboGaussian,option1_haliadex_13mw,212,3299.4339354141375,3245.7415152229096,1.627322178356894
2010,Nygaard_TurboGaussian,option2_haliadex_250,161,3299.4339354141375,3250.8976639664356,1.4710484403625352
2010,Nygaard_TurboGaussian,option3_gwh300_22mw,115,3299.4339354141375,3246.767515279623,1.596225933461649
2010,SuperGaussian,option1_haliadex_13mw,212,3658.798332273693,3655.5965797733757,0.08750830763410386
2010,SuperGaussian,option2_haliadex_250,161,3658.798332273693,3655.950745817933,0.0778284616192774
2010,SuperGaussian,option3_gwh300_22mw,115,3658.798332273693,3656.5003130645473,0.06280803150245823
2010,NOJ,option1_haliadex_13mw,212,3923.6523094101376,3922.7342379463726,0.023398389851293007
2010,NOJ,option2_haliadex_250,161,3923.6523094101376,3922.6606382699624,0.025274184916865592
2010,NOJ,option3_gwh300_22mw,115,3923.6523094101376,3922.547274884413,0.028163416087461698
2011,Nygaard_TurboGaussian,option1_haliadex_13mw,212,3000.820385864229,2944.4589227503143,1.8782018203892894
2011,Nygaard_TurboGaussian,option2_haliadex_250,161,3000.820385864229,2953.8042585018566,1.5667757918417378
2011,Nygaard_TurboGaussian,option3_gwh300_22mw,115,3000.820385864229,2945.786010716239,1.8339776484869557
2011,SuperGaussian,option1_haliadex_13mw,212,3302.9591041858494,3296.5057403880087,0.1953812806723008
2011,SuperGaussian,option2_haliadex_250,161,3302.9591041858494,3297.100877616062,0.17736297619801591
2011,SuperGaussian,option3_gwh300_22mw,115,3302.9591041858494,3297.750525938948,0.15769430025035283
2011,NOJ,option1_haliadex_13mw,212,3543.008533544583,3541.957870587435,0.02965454209890511
2011,NOJ,option2_haliadex_250,161,3543.008533544583,3541.8691559528743,0.032158477207185746
2011,NOJ,option3_gwh300_22mw,115,3543.008533544583,3541.713423990252,0.036553949618492954
2012,Nygaard_TurboGaussian,option1_haliadex_13mw,212,2869.387625885871,2815.577294618396,1.8753245738578745
2012,Nygaard_TurboGaussian,option2_haliadex_250,161,2869.387625885871,2822.44780065971,1.6358830296296751
2012,Nygaard_TurboGaussian,option3_gwh300_22mw,115,2869.387625885871,2816.478624833765,1.8439126374837962
2012,SuperGaussian,option1_haliadex_13mw,212,3175.6453999216546,3169.970002453443,0.17871634749747253
2012,SuperGaussian,option2_haliadex_250,161,3175.6453999216546,3170.5556952242214,0.16027308016061328
2012,SuperGaussian,option3_gwh300_22mw,115,3175.6453999216546,3171.125268553599,0.1423374085836838
2012,NOJ,option1_haliadex_13mw,212,3430.642235842228,3429.6001711151066,0.030375208357026076
2012,NOJ,option2_haliadex_250,161,3430.642235842228,3429.514108350464,0.03288385713839315
2012,NOJ,option3_gwh300_22mw,115,3430.642235842228,3429.3554953586627,0.03750727692097155
2013,Nygaard_TurboGaussian,option1_haliadex_13mw,212,3258.3406420247966,3200.6961243487076,1.7691372391398448
2013,Nygaard_TurboGaussian,option2_haliadex_250,161,3258.3406420247966,3209.367273237711,1.5030156195287407
2013,Nygaard_TurboGaussian,option3_gwh300_22mw,115,3258.3406420247966,3201.8830867906136,1.7327088060105096
2013,SuperGaussian,option1_haliadex_13mw,212,3617.3246300417986,3613.8864107615846,0.09504867911659733
2013,SuperGaussian,option2_haliadex_250,161,3617.3246300417986,3614.3713821363126,0.08164177140639706
2013,SuperGaussian,option3_gwh300_22mw,115,3617.3246300417986,3614.885445080551,0.0674306348119863
2013,NOJ,option1_haliadex_13mw,212,3885.5373130061676,3884.6229284407186,0.02353302752718863
2013,NOJ,option2_haliadex_250,161,3885.5373130061676,3884.554538142177,0.025293152138850947
2013,NOJ,option3_gwh300_22mw,115,3885.5373130061676,3884.429524530463,0.028510560740119685
2014,Nygaard_TurboGaussian,option1_haliadex_13mw,212,3072.3501513756464,3013.66316735032,1.9101658708741094
2014,Nygaard_TurboGaussian,option2_haliadex_250,161,3072.3501513756464,3022.870294626863,1.6104888541636002
2014,Nygaard_TurboGaussian,option3_gwh300_22mw,115,3072.3501513756464,3014.992522218441,1.8668975322205195
2014,SuperGaussian,option1_haliadex_13mw,212,3382.211749376048,3377.0838569425255,0.15161358346260975
2014,SuperGaussian,option2_haliadex_250,161,3382.211749376048,3377.6252201132297,0.13560739547618
2014,SuperGaussian,option3_gwh300_22mw,115,3382.211749376048,3378.1976752020664,0.11868192979703346
2014,NOJ,option1_haliadex_13mw,212,3632.214608166525,3631.2022544136357,0.027871529138537243
2014,NOJ,option2_haliadex_250,161,3632.214608166525,3631.1226587145793,0.030062911191719523
2014,NOJ,option3_gwh300_22mw,115,3632.214608166525,3630.9779288088157,0.03404752998153972
2015,Nygaard_TurboGaussian,option1_haliadex_13mw,212,3099.4264289378025,3043.180371269193,1.8147247227250807
2015,Nygaard_TurboGaussian,option2_haliadex_250,161,3099.4264289378025,3049.7055205067595,1.6041970852033651
2015,Nygaard_TurboGaussian,option3_gwh300_22mw,115,3099.4264289378025,3044.1129161375457,1.7846370632908746
2015,SuperGaussian,option1_haliadex_13mw,212,3422.642360655646,3417.512860273352,0.14986959903433245
2015,SuperGaussian,option2_haliadex_250,161,3422.642360655646,3418.021096421219,0.13502036577205906
2015,SuperGaussian,option3_gwh300_22mw,115,3422.642360655646,3418.5525627953903,0.11949241052086466
2015,NOJ,option1_haliadex_13mw,212,3682.898531684037,3681.8784607193,0.027697503907894834
2015,NOJ,option2_haliadex_250,161,3682.898531684037,3681.7966287927593,0.029919447462322696
2015,NOJ,option3_gwh300_22mw,115,3682.898531684037,3681.645227135733,0.03403038496776346
2016,Nygaard_TurboGaussian,option1_haliadex_13mw,212,3187.2409779537365,3139.9096671725365,1.485024543440313
2016,Nygaard_TurboGaussian,option2_haliadex_250,161,3187.2409779537365,3146.4101690601283,1.2810706556559883
2016,Nygaard_TurboGaussian,option3_gwh300_22mw,115,3187.2409779537365,3140.7804318489216,1.4577042158463787
2016,SuperGaussian,option1_haliadex_13mw,212,3542.7564271763217,3539.356255702826,0.09597531028137704
2016,SuperGaussian,option2_haliadex_250,161,3542.7564271763217,3539.8460235156426,0.08215082579071825
2016,SuperGaussian,option3_gwh300_22mw,115,3542.7564271763217,3540.3357943202855,0.0683262568509565
2016,NOJ,option1_haliadex_13mw,212,3806.0091128509202,3805.187771707502,0.02158011499880081
2016,NOJ,option2_haliadex_250,161,3806.0091128509202,3805.1236262957614,0.023265486994475344
2016,NOJ,option3_gwh300_22mw,115,3806.0091128509202,3805.0040797707347,0.02640648118240276
2017,Nygaard_TurboGaussian,option1_haliadex_13mw,212,3272.351610378343,3209.229111680282,1.92896443334104
2017,Nygaard_TurboGaussian,option2_haliadex_250,161,3272.351610378343,3216.59668564738,1.7038182741162322
2017,Nygaard_TurboGaussian,option3_gwh300_22mw,115,3272.351610378343,3210.4978763854815,1.8901921724025927
2017,SuperGaussian,option1_haliadex_13mw,212,3632.137786954242,3625.9384222631325,0.1706808787204119
2017,SuperGaussian,option2_haliadex_250,161,3632.137786954242,3626.417668930965,0.15748626177735214
2017,SuperGaussian,option3_gwh300_22mw,115,3632.137786954242,3627.057303892516,0.1398758351066441
2017,NOJ,option1_haliadex_13mw,212,3895.312037439018,3894.211440721092,0.02825439162120045
2017,NOJ,option2_haliadex_250,161,3895.312037439018,3894.1154567096055,0.03071848206027121
2017,NOJ,option3_gwh300_22mw,115,3895.312037439018,3893.9594838292146,0.03472259980210521
2018,Nygaard_TurboGaussian,option1_haliadex_13mw,212,3342.045621011034,3284.073048271074,1.7346433685852012
2018,Nygaard_TurboGaussian,option2_haliadex_250,161,3342.045621011034,3292.8543461359377,1.4718911844242022
2018,Nygaard_TurboGaussian,option3_gwh300_22mw,115,3342.045621011034,3285.322098045279,1.6972695587738684
2018,SuperGaussian,option1_haliadex_13mw,212,3652.3360538342386,3646.032931630226,0.1725778272072091
2018,SuperGaussian,option2_haliadex_250,161,3652.3360538342386,3646.5961087238993,0.15715818658892106
2018,SuperGaussian,option3_gwh300_22mw,115,3652.3360538342386,3647.1797087126847,0.14117937247698462
2018,NOJ,option1_haliadex_13mw,212,3890.1084747244727,3889.0611137922097,0.026923694777873777
2018,NOJ,option2_haliadex_250,161,3890.1084747244727,3888.975072128459,0.029135501063216877
2018,NOJ,option3_gwh300_22mw,115,3890.1084747244727,3888.8182899387066,0.033165779158830976
2019,Nygaard_TurboGaussian,option1_haliadex_13mw,212,3224.325618509856,3162.5590499017835,1.9156430186048807
2019,Nygaard_TurboGaussian,option2_haliadex_250,161,3224.325618509856,3172.425480269678,1.6096432054577794
2019,Nygaard_TurboGaussian,option3_gwh300_22mw,115,3224.325618509856,3164.1777136463224,1.8654413970550385
2019,SuperGaussian,option1_haliadex_13mw,212,3545.517198584659,3539.1538237719133,0.1794766308082236
2019,SuperGaussian,option2_haliadex_250,161,3545.517198584659,3539.6303414359804,0.16603662650483503
2019,SuperGaussian,option3_gwh300_22mw,115,3545.517198584659,3540.3068429686805,0.1469561512226925
2019,NOJ,option1_haliadex_13mw,212,3786.1845141786343,3785.1353087012053,0.02771141959669266
2019,NOJ,option2_haliadex_250,161,3786.1845141786343,3785.04262302566,0.030159416391311655
2019,NOJ,option3_gwh300_22mw,115,3786.1845141786343,3784.899681190427,0.03393476951257163
2020,Nygaard_TurboGaussian,option1_haliadex_13mw,212,3223.2566752370776,3172.1023312675707,1.5870391074500587
2020,Nygaard_TurboGaussian,option2_haliadex_250,161,3223.2566752370776,3180.099993390811,1.3389154570847912
2020,Nygaard_TurboGaussian,option3_gwh300_22mw,115,3223.2566752370776,3173.202975305232,1.552892151481049
2020,SuperGaussian,option1_haliadex_13mw,212,3539.9647795755272,3534.812100354619,0.1455573583849665
2020,SuperGaussian,option2_haliadex_250,161,3539.9647795755272,3535.379402618285,0.12953171126725413
2020,SuperGaussian,option3_gwh300_22mw,115,3539.9647795755272,3535.9533473233155,0.11331842269608025
2020,NOJ,option1_haliadex_13mw,212,3789.720071427521,3788.77062097983,0.0250533134320252
2020,NOJ,option2_haliadex_250,161,3789.720071427521,3788.6947950459858,0.027054145483335037
2020,NOJ,option3_gwh300_22mw,115,3789.720071427521,3788.5523976541945,0.030811610127356965
2021,Nygaard_TurboGaussian,option1_haliadex_13mw,212,3065.650609657535,3013.342241473657,1.706272985548127
2021,Nygaard_TurboGaussian,option2_haliadex_250,161,3065.650609657535,3020.490495950391,1.473100475470971
2021,Nygaard_TurboGaussian,option3_gwh300_22mw,115,3065.650609657535,3014.4043930636103,1.6716261283163427
2021,SuperGaussian,option1_haliadex_13mw,212,3388.2282604096517,3384.031589518381,0.1238603355124344
2021,SuperGaussian,option2_haliadex_250,161,3388.2282604096517,3384.516316537878,0.10955412641900535
2021,SuperGaussian,option3_gwh300_22mw,115,3388.2282604096517,3385.0984792211316,0.09237220600189879
2021,NOJ,option1_haliadex_13mw,212,3642.9237143676637,3641.9962131495777,0.0254603524753477
2021,NOJ,option2_haliadex_250,161,3642.9237143676637,3641.9206316756545,0.027535100118980776
2021,NOJ,option3_gwh300_22mw,115,3642.9237143676637,3641.7953613699783,0.030973829982636782
2022,Nygaard_TurboGaussian,option1_haliadex_13mw,212,3271.5966239566783,3212.5997587218426,1.8033049919059005
2022,Nygaard_TurboGaussian,option2_haliadex_250,161,3271.5966239566783,3223.620461227934,1.4664449271475857
2022,Nygaard_TurboGaussian,option3_gwh300_22mw,115,3271.5966239566783,3213.9411590898644,1.7623035934388878
2022,SuperGaussian,option1_haliadex_13mw,212,3581.9502720829514,3575.7581845044087,0.17286916646505782
2022,SuperGaussian,option2_haliadex_250,161,3581.9502720829514,3576.461156846966,0.1532437588195088
2022,SuperGaussian,option3_gwh300_22mw,115,3581.9502720829514,3577.117811285326,0.1349114429446122
2022,NOJ,option1_haliadex_13mw,212,3828.28231522009,3827.2291475281936,0.02751018877863919
2022,NOJ,option2_haliadex_250,161,3828.28231522009,3827.1442648367474,0.029727441438107762
2022,NOJ,option3_gwh300_22mw,115,3828.28231522009,3826.982585978371,0.03395071561341359
2023,Nygaard_TurboGaussian,option1_haliadex_13mw,212,2820.706502905814,2765.537888796631,1.9558438303435681
2023,Nygaard_TurboGaussian,option2_haliadex_250,161,2820.706502905814,2772.4886331448333,1.7094252702756538
2023,Nygaard_TurboGaussian,option3_gwh300_22mw,115,2820.706502905814,2766.580814493794,1.9188699127775624
2023,SuperGaussian,option1_haliadex_13mw,212,3151.446397278978,3145.729653361451,0.181400639479804
2023,SuperGaussian,option2_haliadex_250,161,3151.446397278978,3146.252134349016,0.16482155414246555
2023,SuperGaussian,option3_gwh300_22mw,115,3151.446397278978,3146.8396028038064,0.1461803214914041
2023,NOJ,option1_haliadex_13mw,212,3415.305670419407,3414.2540272504866,0.030792065788685093
2023,NOJ,option2_haliadex_250,161,3415.305670419407,3414.1635167260697,0.033442209967604185
2023,NOJ,option3_gwh300_22mw,115,3415.305670419407,3414.008389955031,0.03798431500910534
