year,mean_speed_ms,freq_0,freq_30,freq_60,freq_90,freq_120,freq_150,freq_180,freq_210,freq_240,freq_270,freq_300,freq_330,A_0,A_30,A_60,A_90,A_120,A_150,A_180,A_210,A_240,A_270,A_300,A_330,k_0,k_30,k_60,k_90,k_120,k_150,k_180,k_210,k_240,k_270,k_300,k_330
2010,9.399,0.061986301369863016,0.055251141552511415,0.05,0.04965753424657534,0.04965753424657534,0.04497716894977169,0.06118721461187215,0.1375570776255708,0.13424657534246576,0.1382420091324201,0.13835616438356163,0.07888127853881279,11.27391431479142,12.007289325872872,9.169625797164983,10.20641331245096,8.318669329622612,10.063983726236817,9.389165994608504,11.009909178258898,10.421196843194945,11.498804574253843,11.032272777560461,9.82557947096003,1.8489429262399777,1.922440604056845,1.915680985868352,1.8462877872486865,1.8745510448648202,1.7259656319659746,1.9779344848074443,2.8031351979316366,2.606441517159712,2.8199505661913404,2.602421518438005,2.2327240703212747
2011,8.814,0.06335616438356165,0.05547945205479452,0.051598173515981734,0.04908675799086758,0.04714611872146119,0.05684931506849315,0.09189497716894977,0.1680365296803653,0.14166666666666666,0.10365296803652968,0.10490867579908676,0.06632420091324201,9.669248138692266,8.680478472982898,7.503219829805833,9.001390456006206,8.874922203788321,9.241805107101806,10.53967985121367,11.333451628106275,10.315295813811186,10.297631454525696,10.132747316963515,9.094979473327673,2.022315019724431,1.9355763781200122,2.110406615596988,1.740131709869499,1.83751322330412,1.6507582868134987,1.95514521395766,2.282310990078887,2.3888551943893037,2.178927994378798,2.3270205630005956,2.27628862329562
2012,8.528,0.0625,0.07354280510018214,0.06329690346083788,0.05453096539162113,0.04348816029143898,0.04883879781420765,0.08299180327868852,0.14162112932604737,0.14583333333333334,0.10837887067395265,0.09562841530054644,0.0793488160291439,8.706756854717936,9.654236884195306,8.642590700429514,8.467972626494012,8.407569316416962,8.681342349529272,9.468176968526095,10.15422075955954,10.646955476734991,10.245997242004224,9.545795326713902,9.502117229388034,2.0844620469845294,1.9311504580672572,1.838684981004064,2.005271019823849,1.616630659204069,1.9114919956146381,2.149399956554742,2.2762945550533815,2.612161175158727,2.465458618349357,2.415061283545655,2.169634017722639
2013,9.253,0.06541095890410958,0.06289954337899543,0.05924657534246575,0.041666666666666664,0.03515981735159817,0.043036529680365296,0.07385844748858447,0.146689497716895,0.15445205479452054,0.1375570776255708,0.11746575342465754,0.06255707762557078,10.658792721646186,9.361968459335039,9.06388099924597,8.398618427697517,7.736080558958154,8.868269143974352,11.726225187441882,11.581210704230864,10.491066196513186,11.187535476479294,10.474809523602758,9.849923375882133,1.8483999128903414,1.8870112841835287,2.020667234561624,1.6615106019562336,1.8745130503834442,1.7806483826322521,2.012316606688967,2.839570616674349,2.9888992531996337,2.807208482405649,2.729015303371434,2.3066326544520512
2014,8.930,0.056050228310502284,0.08755707762557077,0.06426940639269406,0.04497716894977169,0.043721461187214615,0.05251141552511415,0.08036529680365297,0.1421232876712329,0.12191780821917808,0.12659817351598174,0.1141552511415525,0.06575342465753424,10.051021504585728,10.22243629769864,8.873552042802782,7.605091257160416,7.848351759664697,10.233918822813397,11.312278445924203,11.083058573467232,10.50189040346018,10.106344675589238,9.854922715097661,9.583818775172352,1.7499394022987456,2.2077055063206776,2.1288928188149043,2.0382536781101446,1.6049480697135956,1.8350316794300126,2.0391829605065466,2.697254767606701,2.3463292754365765,2.520670096852678,2.2405572793128474,1.947822859712224
2015,8.934,0.06621004566210045,0.09406392694063927,0.05399543378995434,0.0410958904109589,0.03573059360730593,0.051598173515981734,0.07157534246575342,0.16061643835616438,0.14429223744292238,0.12317351598173516,0.09634703196347032,0.0613013698630137,9.826842836969034,10.898120704707342,8.063739978269007,7.997629909298296,8.444748559800887,8.871294382204383,9.848336044577763,10.785379078077884,9.832116797857223,10.722035778886944,11.330967006200783,9.78151505732993,2.1355970725641007,2.157006148923695,2.302873943025176,1.9618153396034967,1.906952715790578,1.8788784204728697,2.1585940947498745,2.581451177867409,2.5711601564164432,2.571277798973878,2.4678717463993247,2.150816253986097
2016,9.209,0.08515482695810565,0.072632058287796,0.07012750455373407,0.05407559198542805,0.03790983606557377,0.041325136612021855,0.07525045537340619,0.15004553734061932,0.13342440801457195,0.11885245901639344,0.09562841530054644,0.06557377049180328,10.995533097178036,9.540269363858531,8.807714724599009,8.116256441204355,7.63882837051213,9.215304608361434,9.61588053267526,11.43753846084664,10.8903214264053,12.015975136402378,11.421589939734371,9.11567753429211,2.136961549556191,1.982450823728918,2.0187647397014716,1.9348094970744074,1.777792191861867,1.4970681330712545,1.9415854620772466,2.542013881645588,2.779754572118512,2.445787180655925,2.602157606801793,2.4142485030680025
2017,9.364,0.06803652968036529,0.0658675799086758,0.057420091324200916,0.05262557077625571,0.054452054794520546,0.05799086757990868,0.07431506849315068,0.15468036529680365,0.1382420091324201,0.12009132420091324,0.095662100456621,0.060616438356164384,10.698356150567726,9.302088623516848,9.560666085537942,9.35631338974795,8.71077282907598,9.373516905288959,10.214915245444766,11.679480258372156,10.929552858223413,11.839030088294546,11.448682260970992,9.04241311283544,1.7699493102680963,2.097208779290877,1.9414887042107827,1.9288347327572448,1.6956628329877357,1.9425246710844535,2.071472729351061,2.433069714486707,2.655036857175871,2.881417951810602,2.5332958078105565,2.0972452858318587
2018,9.402,0.05821917808219178,0.07534246575342465,0.06837899543378996,0.05011415525114155,0.04417808219178082,0.05365296803652968,0.08812785388127854,0.16358447488584474,0.12442922374429223,0.11038812785388127,0.11073059360730593,0.052853881278538815,11.213130036533649,10.350948088224175,9.687376029185684,9.041775066374566,7.510452445598328,9.242162427137405,10.498129385376728,11.916189694731205,11.102905973026054,11.063880540618463,10.995829319001576,9.604308935618793,1.7044592141145563,2.0751369754417004,1.914743405004275,1.9315546361127212,1.6274031239552347,1.865368518476384,1.8831474144958418,2.545526819787818,2.7514112762282785,2.2864381552176614,2.7115813949700374,2.1331336667394076
2019,9.246,0.05719178082191781,0.07682648401826483,0.05878995433789954,0.056050228310502284,0.05547945205479452,0.056735159817351596,0.08253424657534246,0.12773972602739725,0.12876712328767123,0.11689497716894977,0.10993150684931507,0.0730593607305936,10.807603825888066,10.534273666117802,8.997837270967027,8.093147615434194,8.168675341725267,9.406531951775424,12.047958239224242,11.212494565990955,10.785605885074968,11.498669513649332,10.674429268541774,9.44014997049926,1.7889571986299386,2.1861532759962263,1.9827598230008643,1.790169743380236,1.7797116987845754,1.8223046329181267,1.9603832332715188,2.5178363185971193,2.2928774912970553,2.374390084531099,2.5900579918007933,2.411554402961227
2020,9.166,0.06500455373406193,0.0662568306010929,0.060109289617486336,0.05441712204007286,0.04360200364298725,0.05043260473588342,0.08469945355191257,0.17691256830601093,0.1421903460837887,0.10302823315118396,0.09209927140255009,0.061247723132969036,9.998243234563848,10.471986022322424,8.986004745761615,8.995509436546168,8.353759489850273,10.200901674815196,10.039541128159824,11.094907884830715,10.890915131701433,10.934411455141488,10.691260703444923,9.813820010111336,2.041452034609153,2.418189507157102,2.1542248548690295,2.0085373093186094,1.7289345540629442,1.6077266140712272,1.9929038686134688,2.4860057499695305,2.548417504116607,2.3239608339705704,2.5536364305488206,2.0646032581635567
2021,8.870,0.06324200913242009,0.05650684931506849,0.05924657534246575,0.04954337899543379,0.0454337899543379,0.04269406392694064,0.07328767123287672,0.13504566210045663,0.15273972602739727,0.1230593607305936,0.11894977168949772,0.08025114155251141,10.302067237446199,9.2857751416088,9.374322508167227,7.971529128652128,8.902487902138535,8.634263625073363,10.187784473837045,11.1422712163431,9.989697477814302,11.078860029996958,10.097928158838286,9.36834379517552,1.8565613293692993,1.9938135194204065,2.240518164501894,2.069130069810206,1.9133878469745729,1.7208113201332604,2.0642615488297444,2.559980531988934,2.5245652537524705,2.4488319400126897,2.5502070029898745,2.5672651159846813
2022,9.219,0.051484018264840184,0.08127853881278539,0.051484018264840184,0.04452054794520548,0.046232876712328765,0.04646118721461187,0.09634703196347032,0.17831050228310502,0.14531963470319634,0.10228310502283106,0.09646118721461187,0.059817351598173515,9.684281876377181,11.730012226444206,8.53590547895994,8.49041413191306,8.548785432933883,8.71398864278354,11.183617559069916,10.96918178693463,10.634929183644653,10.704321901438995,10.99614436085921,9.709046390038836,2.0230603531120916,2.2628251953259677,2.119648234832292,1.712092851998526,1.6573237652468715,1.9379784224431227,2.151922749274357,2.3513161646784035,2.6294978190630363,2.5171044145001913,2.6143454199028042,2.300973905498405
2023,8.533,0.07363013698630137,0.049771689497716896,0.06723744292237444,0.055251141552511415,0.04874429223744292,0.0591324200913242,0.08824200913242009,0.12682648401826485,0.15262557077625571,0.11381278538812785,0.09246575342465753,0.07226027397260273,10.42888658518224,8.588416195628273,9.18009909445897,9.04066317639651,9.24216057415492,8.532557570567116,9.164852970237963,9.619749975074686,10.39849622289867,10.009528230342383,10.011823939522447,9.066469984085245,2.0578789603916463,1.884423458722346,2.2371980308316193,1.983628646241553,1.637257495020017,1.631290426505787,1.8390801650641297,2.199587195649179,2.6526062414732046,2.4682327342098307,2.3259243217995786,2.233222214748094
climatology_used_in_optimization,10.513
