trial_id,run_id,seed,pd_level,t_start_iso,t_end_iso,t_climate_done_iso,t_layout_done_iso,t_bridge_done_iso,dt_climate_s,dt_layout_s,dt_bridge_s,dt_aep_total_s,dt_total_s,n_farms_total,n_new_farms,n_turbines_total,requested_mw,delivered_mw,delivered_pct,climate_scale,climate_extreme_modes,climate_mean_speed,climate_dominant_sector,climate_dominant_sector_freq
mc_20260807_0627_medium_000062,mc_20260807_0627_medium/task_0012,62,medium,2026-08-07T06:28:24.215,2026-08-07T06:28:47.061,2026-08-07T06:28:24.218,2026-08-07T06:28:27.241,2026-08-07T06:28:27.241,0.0,3.02,0.0,19.82,22.85,17,4,1248,11808.0,3650.8,30.92,1.0,,8.611,8,0.1363
mc_20260807_0627_medium_000063,mc_20260807_0627_medium/task_0012,63,medium,2026-08-07T06:28:47.062,2026-08-07T06:29:07.762,2026-08-07T06:28:47.066,2026-08-07T06:28:50.243,2026-08-07T06:28:50.243,0.0,3.18,0.0,17.52,20.7,18,5,1186,11808.0,4530.5,38.37,1.0,,9.899,7,0.1773
mc_20260807_0627_medium_000064,mc_20260807_0627_medium/task_0012,64,medium,2026-08-07T06:29:07.763,2026-08-07T06:29:21.162,2026-08-07T06:29:07.765,2026-08-07T06:29:11.757,2026-08-07T06:29:11.757,0.0,3.99,0.0,9.4,13.4,15,2,898,11808.0,946.5,8.02,1.0,,9.055,7,0.1756
mc_20260807_0627_medium_000065,mc_20260807_0627_medium/task_0013,65,medium,2026-08-07T06:27:26.244,2026-08-07T06:27:39.757,2026-08-07T06:27:26.253,2026-08-07T06:27:30.291,2026-08-07T06:27:30.301,0.01,4.04,0.01,9.46,13.51,17,4,928,11808.0,120.0,1.02,1.0,,9.052,8,0.1314
mc_20260807_0627_medium_000066,mc_20260807_0627_medium/task_0013,66,medium,2026-08-07T06:27:39.765,2026-08-07T06:28:00.213,2026-08-07T06:27:39.770,2026-08-07T06:27:43.042,2026-08-07T06:27:43.043,0.0,3.27,0.0,17.17,20.45,18,5,1153,11808.0,4288.8,36.32,1.0,,9.109,8,0.1492
mc_20260807_0627_medium_000067,mc_20260807_0627_medium/task_0013,67,medium,2026-08-07T06:28:00.214,2026-08-07T06:28:18.548,2026-08-07T06:28:00.217,2026-08-07T06:28:05.014,2026-08-07T06:28:05.014,0.0,4.8,0.0,13.53,18.33,18,5,994,11808.0,1080.0,9.15,1.0,,9.22,7,0.1664
mc_20260807_0627_medium_000068,mc_20260807_0627_medium/task_0013,68,medium,2026-08-07T06:28:18.548,2026-08-07T06:28:43.823,2026-08-07T06:28:18.552,2026-08-07T06:28:21.761,2026-08-07T06:28:21.761,0.0,3.21,0.0,22.06,25.27,26,13,1377,11808.0,5482.8,46.43,1.0,,9.421,7,0.1758
mc_20260807_0627_medium_000069,mc_20260807_0627_medium/task_0013,69,medium,2026-08-07T06:28:43.824,2026-08-07T06:29:08.809,2026-08-07T06:28:43.827,2026-08-07T06:28:46.550,2026-08-07T06:28:46.550,0.0,2.72,0.0,22.26,24.99,22,9,1316,11808.0,4886.5,41.38,1.0,,9.125,8,0.1458
mc_20260807_0627_medium_000070,mc_20260807_0627_medium/task_0014,70,medium,2026-08-07T06:27:26.491,2026-08-07T06:28:01.904,2026-08-07T06:27:26.496,2026-08-07T06:27:30.173,2026-08-07T06:27:30.182,0.0,3.68,0.01,31.72,35.41,17,4,1182,11808.0,1690.0,14.31,1.0,,8.963,7,0.1585
mc_20260807_0627_medium_000071,mc_20260807_0627_medium/task_0014,71,medium,2026-08-07T06:28:01.907,2026-08-07T06:28:22.217,2026-08-07T06:28:01.912,2026-08-07T06:28:06.026,2026-08-07T06:28:06.026,0.01,4.11,0.0,16.19,20.31,19,6,1082,11808.0,2228.8,18.87,1.0,,9.153,7,0.158
mc_20260807_0627_medium_000072,mc_20260807_0627_medium/task_0014,72,medium,2026-08-07T06:28:22.218,2026-08-07T06:28:42.977,2026-08-07T06:28:22.222,2026-08-07T06:28:26.668,2026-08-07T06:28:26.668,0.0,4.45,0.0,16.31,20.76,18,5,1078,11808.0,1555.0,13.17,1.0,,9.188,8,0.1351
mc_20260807_0627_medium_000073,mc_20260807_0627_medium/task_0014,73,medium,2026-08-07T06:28:42.978,2026-08-07T06:29:06.689,2026-08-07T06:28:42.981,2026-08-07T06:28:46.818,2026-08-07T06:28:46.819,0.0,3.84,0.0,19.87,23.71,20,7,1154,11808.0,2717.0,23.01,1.0,,9.188,7,0.1339
mc_20260807_0627_medium_000074,mc_20260807_0627_medium/task_0014,74,medium,2026-08-07T06:29:06.690,2026-08-07T06:29:20.587,2026-08-07T06:29:06.694,2026-08-07T06:29:09.909,2026-08-07T06:29:09.909,0.0,3.22,0.0,10.68,13.9,17,4,1145,11808.0,3083.0,26.11,1.0,,9.039,8,0.1445
mc_20260807_0627_medium_000075,mc_20260807_0627_medium/task_0015,75,medium,2026-08-07T06:27:26.611,2026-08-07T06:27:50.796,2026-08-07T06:27:26.615,2026-08-07T06:27:30.137,2026-08-07T06:27:30.145,0.0,3.52,0.01,20.65,24.18,18,5,1053,11808.0,1284.0,10.87,1.0,,9.126,7,0.1588
mc_20260807_0627_medium_000076,mc_20260807_0627_medium/task_0015,76,medium,2026-08-07T06:27:50.799,2026-08-07T06:28:11.152,2026-08-07T06:27:50.804,2026-08-07T06:27:55.061,2026-08-07T06:27:55.062,0.0,4.26,0.0,16.09,20.35,21,8,1157,11808.0,4314.0,36.53,1.0,,9.446,7,0.1632
mc_20260807_0627_medium_000077,mc_20260807_0627_medium/task_0015,77,medium,2026-08-07T06:28:11.153,2026-08-07T06:28:34.379,2026-08-07T06:28:11.157,2026-08-07T06:28:14.588,2026-08-07T06:28:14.588,0.0,3.43,0.0,19.79,23.23,21,8,1258,11808.0,4275.8,36.21,1.0,,9.067,8,0.1467
mc_20260807_0627_medium_000078,mc_20260807_0627_medium/task_0015,78,medium,2026-08-07T06:28:34.380,2026-08-07T06:28:56.549,2026-08-07T06:28:34.383,2026-08-07T06:28:37.689,2026-08-07T06:28:37.689,0.0,3.31,0.0,18.86,22.17,17,4,1205,11808.0,3614.0,30.61,1.0,,9.281,7,0.1557
mc_20260807_0627_medium_000079,mc_20260807_0627_medium/task_0015,79,medium,2026-08-07T06:28:56.550,2026-08-07T06:29:11.005,2026-08-07T06:28:56.553,2026-08-07T06:29:00.871,2026-08-07T06:29:00.872,0.0,4.32,0.0,10.13,14.46,18,5,963,11808.0,2052.8,17.38,1.0,,8.926,7,0.1561
mc_20260807_0627_medium_000080,mc_20260807_0627_medium/task_0016,80,medium,2026-08-07T06:28:28.295,2026-08-07T06:28:50.564,2026-08-07T06:28:28.300,2026-08-07T06:28:31.359,2026-08-07T06:28:31.367,0.01,3.06,0.01,19.2,22.27,17,4,1307,11808.0,3965.0,33.58,1.0,,9.141,7,0.1567
mc_20260807_0627_medium_000081,mc_20260807_0627_medium/task_0016,81,medium,2026-08-07T06:28:50.569,2026-08-07T06:29:03.606,2026-08-07T06:28:50.574,2026-08-07T06:28:54.438,2026-08-07T06:28:54.439,0.0,3.86,0.0,9.17,13.04,17,4,965,11808.0,1451.0,12.29,1.0,,9.49,7,0.18
mc_20260807_0627_medium_000082,mc_20260807_0627_medium/task_0016,82,medium,2026-08-07T06:29:03.607,2026-08-07T06:29:23.316,2026-08-07T06:29:03.610,2026-08-07T06:29:08.607,2026-08-07T06:29:08.608,0.0,5.0,0.0,14.71,19.71,18,5,1089,11808.0,968.8,8.2,1.0,,9.222,8,0.1482
mc_20260807_0627_medium_000083,mc_20260807_0627_medium/task_0016,83,medium,2026-08-07T06:29:23.317,2026-08-07T06:29:52.707,2026-08-07T06:29:23.319,2026-08-07T06:29:27.340,2026-08-07T06:29:27.340,0.0,4.02,0.0,25.37,29.39,21,8,1282,11808.0,3823.0,32.38,1.0,,8.798,7,0.1417
mc_20260807_0627_medium_000084,mc_20260807_0627_medium/task_0016,84,medium,2026-08-07T06:29:52.708,2026-08-07T06:30:06.514,2026-08-07T06:29:52.711,2026-08-07T06:29:57.008,2026-08-07T06:29:57.009,0.0,4.3,0.0,9.51,13.81,17,4,834,11808.0,594.5,5.03,1.0,,9.032,7,0.1413
mc_20260807_0627_medium_000085,mc_20260807_0627_medium/task_0017,85,medium,2026-08-07T06:28:30.441,2026-08-07T06:28:52.330,2026-08-07T06:28:30.446,2026-08-07T06:28:32.947,2026-08-07T06:28:32.955,0.0,2.5,0.01,19.37,21.89,19,6,1299,11808.0,5297.0,44.86,1.0,,9.109,7,0.1638
mc_20260807_0627_medium_000086,mc_20260807_0627_medium/task_0017,86,medium,2026-08-07T06:28:52.334,2026-08-07T06:29:11.181,2026-08-07T06:28:52.338,2026-08-07T06:28:56.150,2026-08-07T06:28:56.151,0.0,3.81,0.0,15.03,18.85,20,7,1090,11808.0,2762.0,23.39,1.0,,8.809,7,0.1458
mc_20260807_0627_medium_000087,mc_20260807_0627_medium/task_0017,87,medium,2026-08-07T06:29:11.182,2026-08-07T06:29:31.181,2026-08-07T06:29:11.185,2026-08-07T06:29:14.614,2026-08-07T06:29:14.614,0.0,3.43,0.0,16.57,20.0,21,8,1265,11808.0,4294.2,36.37,1.0,,8.928,7,0.1605
mc_20260807_0627_medium_000088,mc_20260807_0627_medium/task_0017,88,medium,2026-08-07T06:29:31.182,2026-08-07T06:29:55.205,2026-08-07T06:29:31.185,2026-08-07T06:29:35.193,2026-08-07T06:29:35.194,0.0,4.01,0.0,20.01,24.02,20,7,1147,11808.0,3651.0,30.92,1.0,,8.987,7,0.1643
mc_20260807_0627_medium_000089,mc_20260807_0627_medium/task_0017,89,medium,2026-08-07T06:29:55.206,2026-08-07T06:30:09.221,2026-08-07T06:29:55.209,2026-08-07T06:29:59.091,2026-08-07T06:29:59.091,0.0,3.88,0.0,10.13,14.01,17,4,984,11808.0,2314.0,19.6,1.0,,8.956,7,0.1653
mc_20260807_0627_medium_000090,mc_20260807_0627_medium/task_0018,90,medium,2026-08-07T06:28:31.459,2026-08-07T06:28:48.597,2026-08-07T06:28:31.464,2026-08-07T06:28:34.836,2026-08-07T06:28:34.844,0.0,3.37,0.01,13.75,17.14,19,6,1112,11808.0,2476.5,20.97,1.0,,9.221,7,0.1753
mc_20260807_0627_medium_000091,mc_20260807_0627_medium/task_0018,91,medium,2026-08-07T06:28:48.601,2026-08-07T06:29:06.006,2026-08-07T06:28:48.606,2026-08-07T06:28:51.988,2026-08-07T06:28:51.989,0.0,3.38,0.0,14.02,17.4,19,6,1094,11808.0,2570.5,21.77,1.0,,9.314,7,0.1597
mc_20260807_0627_medium_000092,mc_20260807_0627_medium/task_0018,92,medium,2026-08-07T06:29:06.007,2026-08-07T06:29:24.003,2026-08-07T06:29:06.011,2026-08-07T06:29:09.996,2026-08-07T06:29:09.997,0.0,3.99,0.0,14.01,18.0,18,5,1121,11808.0,2148.0,18.19,1.0,,8.835,7,0.1345
mc_20260807_0627_medium_000093,mc_20260807_0627_medium/task_0018,93,medium,2026-08-07T06:29:24.004,2026-08-07T06:29:58.522,2026-08-07T06:29:24.007,2026-08-07T06:29:27.752,2026-08-07T06:29:27.752,0.0,3.74,0.0,30.77,34.52,21,8,1476,11808.0,4142.0,35.08,1.0,,8.827,8,0.1619
mc_20260807_0627_medium_000094,mc_20260807_0627_medium/task_0018,94,medium,2026-08-07T06:29:58.523,2026-08-07T06:30:30.918,2026-08-07T06:29:58.525,2026-08-07T06:30:01.192,2026-08-07T06:30:01.193,0.0,2.67,0.0,29.72,32.4,20,7,1575,11808.0,6528.0,55.28,1.0,,9.358,7,0.1689
mc_20260807_0627_medium_000095,mc_20260807_0627_medium/task_0019,95,medium,2026-08-07T06:28:31.570,2026-08-07T06:29:01.996,2026-08-07T06:28:31.575,2026-08-07T06:28:35.771,2026-08-07T06:28:35.780,0.01,4.2,0.01,26.22,30.43,21,8,1303,11808.0,3451.5,29.23,1.0,,8.983,7,0.153
mc_20260807_0627_medium_000096,mc_20260807_0627_medium/task_0019,96,medium,2026-08-07T06:29:02.002,2026-08-07T06:29:22.243,2026-08-07T06:29:02.007,2026-08-07T06:29:05.837,2026-08-07T06:29:05.838,0.0,3.83,0.0,16.41,20.24,20,7,1096,11808.0,4036.5,34.18,1.0,,9.471,7,0.1449
mc_20260807_0627_medium_000097,mc_20260807_0627_medium/task_0019,97,medium,2026-08-07T06:29:22.244,2026-08-07T06:29:58.126,2026-08-07T06:29:22.247,2026-08-07T06:29:25.571,2026-08-07T06:29:25.572,0.0,3.32,0.0,32.55,35.88,19,6,1551,11808.0,4383.0,37.12,1.0,,9.211,9,0.1336
mc_20260807_0627_medium_000098,mc_20260807_0627_medium/task_0019,98,medium,2026-08-07T06:29:58.127,2026-08-07T06:30:16.344,2026-08-07T06:29:58.131,2026-08-07T06:30:02.069,2026-08-07T06:30:02.070,0.0,3.94,0.0,14.27,18.22,16,3,1164,11808.0,4260.0,36.08,1.0,,8.692,7,0.1581
mc_20260807_0627_medium_000099,mc_20260807_0627_medium/task_0019,99,medium,2026-08-07T06:30:16.345,2026-08-07T06:30:35.827,2026-08-07T06:30:16.348,2026-08-07T06:30:19.401,2026-08-07T06:30:19.401,0.0,3.05,0.0,16.43,19.48,23,10,1242,11808.0,5071.0,42.95,1.0,,8.789,8,0.1409
