trial_id,run_id,seed,pd_level,t_start_iso,t_end_iso,t_climate_done_iso,t_layout_done_iso,t_bridge_done_iso,dt_climate_s,dt_layout_s,dt_bridge_s,dt_aep_total_s,dt_total_s,n_farms_total,n_new_farms,n_turbines_total,requested_mw,delivered_mw,delivered_pct,climate_scale,climate_extreme_modes,climate_mean_speed,climate_dominant_sector,climate_dominant_sector_freq
mc_20260807_0627_high_000056,mc_20260807_0627_high/task_0011,56,high,2026-08-07T06:28:57.566,2026-08-07T06:29:27.011,2026-08-07T06:28:57.571,2026-08-07T06:29:05.329,2026-08-07T06:29:05.330,0.01,7.76,0.0,21.68,29.45,21,8,1278,23616.0,5018.8,21.25,1.0,,9.104,7,0.1628
mc_20260807_0627_high_000057,mc_20260807_0627_high/task_0011,57,high,2026-08-07T06:29:27.012,2026-08-07T06:30:02.556,2026-08-07T06:29:27.016,2026-08-07T06:29:34.398,2026-08-07T06:29:34.399,0.0,7.38,0.0,28.16,35.54,21,8,1463,23616.0,6247.0,26.45,1.0,,8.896,7,0.1487
mc_20260807_0627_high_000058,mc_20260807_0627_high/task_0011,58,high,2026-08-07T06:30:02.557,2026-08-07T06:30:38.255,2026-08-07T06:30:02.560,2026-08-07T06:30:10.490,2026-08-07T06:30:10.491,0.0,7.93,0.0,27.76,35.7,21,8,1491,23616.0,5056.0,21.41,1.0,,9.333,7,0.1445
mc_20260807_0627_high_000059,mc_20260807_0627_high/task_0011,59,high,2026-08-07T06:30:38.256,2026-08-07T06:31:05.567,2026-08-07T06:30:38.259,2026-08-07T06:30:44.330,2026-08-07T06:30:44.331,0.0,6.07,0.0,21.24,27.31,19,6,1351,23616.0,5619.0,23.79,1.0,,9.091,9,0.1423
mc_20260807_0627_high_000060,mc_20260807_0627_high/task_0012,60,high,2026-08-07T06:28:36.087,2026-08-07T06:29:05.783,2026-08-07T06:28:36.092,2026-08-07T06:28:43.550,2026-08-07T06:28:43.559,0.0,7.46,0.01,22.22,29.7,22,9,1135,23611,5193.5,22.0,1.0,,9.093,8,0.1362
mc_20260807_0627_high_000061,mc_20260807_0627_high/task_0012,61,high,2026-08-07T06:29:05.787,2026-08-07T06:29:34.616,2026-08-07T06:29:05.793,2026-08-07T06:29:14.258,2026-08-07T06:29:14.259,0.01,8.47,0.0,20.36,28.83,28,15,1412,23616.0,5338.2,22.6,1.0,,8.846,8,0.1432
mc_20260807_0627_high_000062,mc_20260807_0627_high/task_0012,62,high,2026-08-07T06:29:34.617,2026-08-07T06:30:09.489,2026-08-07T06:29:34.622,2026-08-07T06:29:41.732,2026-08-07T06:29:41.733,0.0,7.11,0.0,27.76,34.87,23,10,1559,23616.0,7939.2,33.62,1.0,,8.611,8,0.1363
mc_20260807_0627_high_000063,mc_20260807_0627_high/task_0012,63,high,2026-08-07T06:30:09.490,2026-08-07T06:30:39.046,2026-08-07T06:30:09.494,2026-08-07T06:30:16.686,2026-08-07T06:30:16.686,0.0,7.19,0.0,22.36,29.56,24,11,1434,23616.0,8651.5,36.63,1.0,,9.899,7,0.1773
mc_20260807_0627_high_000064,mc_20260807_0627_high/task_0012,64,high,2026-08-07T06:30:39.047,2026-08-07T06:31:01.707,2026-08-07T06:30:39.050,2026-08-07T06:30:46.098,2026-08-07T06:30:46.099,0.0,7.05,0.0,15.61,22.66,21,8,1162,23616.0,4362.0,18.47,1.0,,9.055,7,0.1756
mc_20260807_0627_high_000065,mc_20260807_0627_high/task_0013,65,high,2026-08-07T06:28:38.352,2026-08-07T06:29:04.523,2026-08-07T06:28:38.358,2026-08-07T06:28:46.297,2026-08-07T06:28:46.306,0.01,7.94,0.01,18.22,26.17,26,13,1180,23616.0,3748.5,15.87,1.0,,9.052,8,0.1314
mc_20260807_0627_high_000066,mc_20260807_0627_high/task_0013,66,high,2026-08-07T06:29:04.526,2026-08-07T06:29:24.368,2026-08-07T06:29:04.530,2026-08-07T06:29:13.315,2026-08-07T06:29:13.316,0.0,8.79,0.0,11.05,19.84,18,5,1014,23616.0,2178.0,9.22,1.0,,9.109,8,0.1492
mc_20260807_0627_high_000067,mc_20260807_0627_high/task_0013,67,high,2026-08-07T06:29:24.369,2026-08-07T06:29:51.417,2026-08-07T06:29:24.372,2026-08-07T06:29:31.167,2026-08-07T06:29:31.167,0.0,6.8,0.0,20.25,27.05,23,10,1409,23616.0,6353.0,26.9,1.0,,9.22,7,0.1664
mc_20260807_0627_high_000068,mc_20260807_0627_high/task_0013,68,high,2026-08-07T06:29:51.418,2026-08-07T06:30:19.185,2026-08-07T06:29:51.421,2026-08-07T06:29:57.721,2026-08-07T06:29:57.721,0.0,6.3,0.0,21.46,27.77,26,13,1444,23616.0,5962.5,25.25,1.0,,9.421,7,0.1758
mc_20260807_0627_high_000069,mc_20260807_0627_high/task_0013,69,high,2026-08-07T06:30:19.186,2026-08-07T06:30:38.840,2026-08-07T06:30:19.188,2026-08-07T06:30:27.226,2026-08-07T06:30:27.226,0.0,8.04,0.0,11.61,19.65,20,7,1037,23616.0,1981.0,8.39,1.0,,9.125,8,0.1458
