trial_id,run_id,seed,wake_model,dt_aep_s,isolated_aep_gwh,real_neighbors_aep_gwh,real_neighbors_loss_pct,full_cluster_aep_gwh,full_cluster_loss_pct
mc_20260807_0627_high_000037,mc_20260807_0627_high/task_0007,37,Nygaard_TurboGaussian,12.74,3134.271398730084,3067.418477422104,2.133,2706.31417762776,13.654
mc_20260807_0627_high_000037,mc_20260807_0627_high/task_0007,37,SuperGaussian,3.62,3188.0440710221205,3183.342564477073,0.147,2890.28694880941,9.34
mc_20260807_0627_high_000038,mc_20260807_0627_high/task_0007,38,Nygaard_TurboGaussian,18.84,3308.863441351129,3248.120756778001,1.836,2831.969646484759,14.413
mc_20260807_0627_high_000038,mc_20260807_0627_high/task_0007,38,SuperGaussian,6.25,3360.6399749793336,3356.192912591642,0.132,3012.7207751491223,10.353
mc_20260807_0627_high_000039,mc_20260807_0627_high/task_0007,39,Nygaard_TurboGaussian,11.83,3362.8520691132635,3305.6937107998647,1.7,2929.0735943686695,12.899
mc_20260807_0627_high_000039,mc_20260807_0627_high/task_0007,39,SuperGaussian,5.56,3413.988447968456,3409.7465399860776,0.124,3097.4001724233044,9.273
mc_20260807_0627_high_000040,mc_20260807_0627_high/task_0008,40,Nygaard_TurboGaussian,29.41,3046.9740241686086,2997.4701032034645,1.625,2603.482670815143,14.555
mc_20260807_0627_high_000040,mc_20260807_0627_high/task_0008,40,SuperGaussian,5.66,3093.8024311629115,3090.1630089752307,0.118,2753.6395356736634,10.995
mc_20260807_0627_high_000041,mc_20260807_0627_high/task_0008,41,Nygaard_TurboGaussian,22.22,3129.638664624212,3070.1662191851756,1.9,2689.919640211846,14.05
mc_20260807_0627_high_000041,mc_20260807_0627_high/task_0008,41,SuperGaussian,7.91,3182.430444191097,3178.2173276788435,0.132,2858.9053880767506,10.166
mc_20260807_0627_high_000042,mc_20260807_0627_high/task_0008,42,Nygaard_TurboGaussian,21.76,2983.0747012285738,2919.809292589117,2.121,2545.6904905244446,14.662
mc_20260807_0627_high_000042,mc_20260807_0627_high/task_0008,42,SuperGaussian,7.59,3035.7941594900003,3031.254359283372,0.15,2723.0433727944624,10.302
mc_20260807_0627_high_000043,mc_20260807_0627_high/task_0008,43,Nygaard_TurboGaussian,12.24,3373.8093818567804,3313.3257293480206,1.793,2945.080785012451,12.708
mc_20260807_0627_high_000043,mc_20260807_0627_high/task_0008,43,SuperGaussian,4.12,3426.6739990676397,3422.261604095957,0.129,3131.070266639305,8.627
mc_20260807_0627_high_000044,mc_20260807_0627_high/task_0008,44,Nygaard_TurboGaussian,14.23,3263.6630413985977,3196.294604731005,2.064,2744.8001218837926,15.898
mc_20260807_0627_high_000044,mc_20260807_0627_high/task_0008,44,SuperGaussian,3.97,3318.2392273898367,3313.4420596298723,0.145,2925.2429231849724,11.844
mc_20260807_0627_high_000045,mc_20260807_0627_high/task_0009,45,Nygaard_TurboGaussian,41.92,3165.5371143503903,3112.9786347602508,1.66,2688.911387266089,15.057
mc_20260807_0627_high_000045,mc_20260807_0627_high/task_0009,45,SuperGaussian,9.55,3215.5307552519325,3211.698941784799,0.119,2823.0883798548048,12.205
mc_20260807_0627_high_000046,mc_20260807_0627_high/task_0009,46,Nygaard_TurboGaussian,17.25,3264.7074763887877,3193.680909178718,2.176,2783.912581815748,14.727
mc_20260807_0627_high_000046,mc_20260807_0627_high/task_0009,46,SuperGaussian,5.67,3318.7886150226677,3313.6872686414076,0.154,2964.68654851696,10.67
mc_20260807_0627_high_000047,mc_20260807_0627_high/task_0009,47,Nygaard_TurboGaussian,22.36,3272.051745569774,3213.72784618529,1.782,2854.816687337691,12.751
